id,ime_obcine,regija,UE,povrsina,prebivalci,prirast,delovna_aktivnost,placa,podjetja,starost_avtomobila
160,Sveta Trojica v Slov. goricah,podravska,Lenart,26,2083,10.1,58.8,1004.71,20678000,10.8
161,Sveti Andraž v Slov. goricah,podravska,Ptuj,18,1187,0.8,58.7,946.11,6071000,11.1
162,Sveti Jurij ob Ščavnici,pomurska,Gornja Radgona,51,2788,-8.6,59.1,1013.2,25529000,10.7
163,Sveti Jurij v Slov. goricah,podravska,Lenart,31,2083,11.0,61.5,1062.82,30240000,10.5
164,Sveti Tomaž,podravska,Ormož,38,1998,-13.5,65.4,1027.4,4902000,11.3
165,Šalovci,pomurska,Murska Sobota,58,1383,-8.7,54.4,996.0,3915000,10.2
166,Šempeter - Vrtojba,goriška,Nova Gorica,15,6243,9.3,67.7,1151.42,607943000,11.7
167,Šenčur,gorenjska,Kranj,40,8756,18.8,69.9,1133.56,372832000,9.8
168,Šentilj,podravska,Pesnica,65,8391,-10.2,51.9,990.08,143892000,9.8
169,Šentjernej,jugovzhodna Slovenija,Novo mesto,96,7157,10.1,70.0,1155.54,170688000,10.4
170,Šentjur,savinjska,Šentjur pri Celju,222,19186,7.4,67.4,976.13,543264000,10.4
171,Šentrupert,jugovzhodna Slovenija,Trebnje,49,2978,7.1,54.4,1136.11,86354000,11.0
172,Škocjan,jugovzhodna Slovenija,Novo mesto,60,3328,18.6,70.0,1042.22,49974000,10.7
173,Škofja Loka,gorenjska,Škofja Loka,146,23216,9.5,69.9,1162.91,1219569000,10.0
174,Škofljica,osrednjeslovenska,Ljubljana,43,11419,34.5,70.2,987.31,288156000,9.6
175,Šmarje pri Jelšah,savinjska,Šmarje pri Jelšah,108,10278,2.1,67.7,1043.07,217186000,10.8
176,Šmarješke Toplice,jugovzhodna Slovenija,Novo mesto,34,3400,25.0,73.8,1018.17,71807000,9.8
177,Šmartno ob Paki,savinjska,Velenje,18,3271,1.2,66.9,974.02,37638000,10.5
178,Šmartno pri Litiji,osrednjeslovenska,Litija,95,5629,6.6,67.2,904.16,101947000,10.9
179,Šoštanj,savinjska,Velenje,96,8735,9.0,65.9,1076.54,381074000,10.5
180,Štore,savinjska,Celje,28,4576,-16.2,66.9,1177.18,290437000,10.6
181,Tabor,savinjska,Žalec,35,1659,13.9,70.4,866.34,8088000,11.5
182,Tišina,pomurska,Murska Sobota,39,3970,4.5,54.8,1059.27,16668000,10.4
183,Tolmin,goriška,Tolmin,382,11031,-6.3,65.8,1054.54,313452000,11.9
184,Trbovlje,zasavska,Trbovlje,58,16037,5.4,61.1,1094.38,371438000,9.9
185,Trebnje,jugovzhodna Slovenija,Trebnje,163,13018,17.8,72.3,1040.98,715387000,10.1
186,Trnovska vas,podravska,Ptuj,23,1350,5.2,61.1,858.7,6410000,11.3
187,Trzin,osrednjeslovenska,Domžale,9,3923,4.8,71.2,1123.4,1068497000,8.1
188,Tržič,gorenjska,Tržič,155,14884,5.3,68.3,972.81,286375000,10.2
189,Turnišče,pomurska,Lendava,24,3170,-15.5,59.3,905.9,91222000,9.6
190,Velenje,savinjska,Velenje,84,33506,11.0,62.7,1064.65,1662882000,10.0
191,Velika Polana,pomurska,Lendava,19,1412,-17.0,63.5,936.65,8918000,10.1
192,Velike Lašče,osrednjeslovenska,Ljubljana,103,4383,13.7,69.9,916.15,50442000,10.3
193,Veržej,pomurska,Ljutomer,12,1290,27.9,63.2,1009.41,23237000,10.4
194,Videm,podravska,Ptuj,80,5587,10.4,64.5,883.54,39319000,10.6
195,Vipava,goriška,Ajdovščina,107,5634,18.5,69.3,1034.22,180101000,12.0
196,Vitanje,savinjska,Slovenske Konjice,59,2256,4.9,70.3,1069.6,22751000,10.6
197,Vodice,osrednjeslovenska,Ljubljana,31,4964,5.6,70.5,922.83,104206000,9.4
198,Vojnik,savinjska,Celje,75,8846,11.5,69.0,980.67,169140000,10.4
199,Vransko,savinjska,Žalec,53,2620,3.1,67.0,1006.41,57143000,11.2
200,Vrhnika,osrednjeslovenska,Vrhnika,116,17452,14.8,69.5,1027.06,504580000,9.9
201,Vuzenica,koroška,Radlje ob Dravi,50,2648,-3.8,60.9,1068.77,40351000,9.7
202,Zagorje ob Savi,zasavska,Zagorje ob Savi,147,16453,0.2,67.9,996.63,403815000,10.0
203,Zavrč,podravska,Ptuj,19,1533,-31.3,57.0,1174.21,24809000,10.4
204,Zreče,savinjska,Slovenske Konjice,67,6505,16.3,68.8,1052.64,452654000,10.2
205,Žalec,savinjska,Žalec,117,21425,7.2,65.2,1001.5,960904000,10.6
206,Železniki,gorenjska,Škofja Loka,164,6699,4.6,71.7,1084.1,289400000,10.4
207,Žetale,podravska,Ptuj,38,1297,12.3,65.6,1029.91,5695000,10.5
208,Žiri,gorenjska,Škofja Loka,49,4915,11.0,74.3,1023.21,276784000,11.3
209,Žirovnica,gorenjska,Jesenice,43,4384,-0.9,70.4,1102.7,54656000,9.4
210,Žužemberk,jugovzhodna Slovenija,Novo mesto,164,4648,15.7,72.3,991.52,78494000,10.6
